sls_ord_num,product_key,customer_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO57718,112,4249,15247,2013-05-09,2013-05-16,2013-05-21,2,1,2
SO57730,107,2428,13426,2013-05-09,2013-05-16,2013-05-21,22,1,22
SO57782,107,2395,13393,2013-05-10,2013-05-17,2013-05-22,22,1,22
SO57783,112,5,11003,2013-05-10,2013-05-17,2013-05-22,2,1,2
SO57789,138,2578,13576,2013-05-11,2013-05-18,2013-05-23,2295,1,2295
SO57793,113,3214,14212,2013-05-11,2013-05-18,2013-05-23,25,1,25
SO57793,112,3214,14212,2013-05-11,2013-05-18,2013-05-23,2,1,2
SO57794,113,1995,12993,2013-05-11,2013-05-18,2013-05-23,25,1,25
SO57794,112,1995,12993,2013-05-11,2013-05-18,2013-05-23,2,1,2
SO60416,107,5085,16083,2013-06-18,2013-06-25,2013-06-30,22,1,22
SO62986,115,3413,14411,2013-07-28,2013-08-04,2013-08-09,35,1,35
SO62986,120,3413,14411,2013-07-28,2013-08-04,2013-08-09,5,1,5
SO62995,146,11720,22718,2013-07-28,2013-08-04,2013-08-09,540,1,540
SO62995,110,11720,22718,2013-07-28,2013-08-04,2013-08-09,35,1,35
SO63010,111,12656,23654,2013-07-29,2013-08-05,2013-08-10,55,1,55
SO63020,120,1109,12107,2013-07-29,2013-08-05,2013-08-10,5,1,5
SO63030,120,8929,19927,2013-07-29,2013-08-05,2013-08-10,5,1,5
SO63043,141,1123,12121,2013-07-29,2013-08-05,2013-08-10,2320,1,2320
SO63043,120,1123,12121,2013-07-29,2013-08-05,2013-08-10,5,1,5
SO63043,115,1123,12121,2013-07-29,2013-08-05,2013-08-10,35,1,35
SO63054,105,11755,22753,2013-07-29,2013-08-05,2013-08-10,159,1,159
SO63095,115,823,11821,2013-07-30,2013-08-06,2013-08-11,35,1,35
SO63095,120,823,11821,2013-07-30,2013-08-06,2013-08-11,5,1,5
SO63109,110,2128,13126,2013-07-30,2013-08-06,2013-08-11,35,1,35
SO63300,139,6189,17187,2013-07-31,2013-08-07,2013-08-12,2295,1,2295
SO43817,20,5521,16519,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43942,20,6053,17051,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO44005,47,15631,26629,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44019,20,5703,16701,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44055,20,2545,13543,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44064,20,11052,22050,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44147,20,6322,17320,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44217,20,17150,28148,2011-03-19,2011-03-26,2011-03-31,3578,1,3578
SO44231,47,6975,17973,2011-03-21,2011-03-28,2011-04-02,699,1,699
SO57460,115,842,11840,2013-05-04,2013-05-11,2013-05-16,35,1,35
SO57471,144,11401,22399,2013-05-04,2013-05-11,2013-05-16,540,1,540
SO57475,109,17871,28869,2013-05-04,2013-05-11,2013-05-16,35,1,35
SO57484,196,11405,22403,2013-05-05,2013-05-12,2013-05-17,70,1,70
SO57496,120,12824,23822,2013-05-05,2013-05-12,2013-05-17,5,1,5
SO57502,110,2928,13926,2013-05-05,2013-05-12,2013-05-17,35,1,35
SO57534,141,2413,13411,2013-05-06,2013-05-13,2013-05-18,2320,1,2320
SO57550,109,2946,13944,2013-05-06,2013-05-13,2013-05-18,35,1,35
SO57555,120,6507,17505,2013-05-06,2013-05-13,2013-05-18,5,1,5
SO57572,115,4500,15498,2013-05-06,2013-05-13,2013-05-18,35,1,35
SO57572,120,4500,15498,2013-05-06,2013-05-13,2013-05-18,5,1,5
SO57572,110,4500,15498,2013-05-06,2013-05-13,2013-05-18,35,1,35
SO57579,139,2345,13343,2013-05-06,2013-05-13,2013-05-18,2295,1,2295
SO54502,109,5303,16301,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54506,110,14528,25526,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54518,111,15331,26329,2013-03-16,2013-03-23,2013-03-28,55,1,55
SO54548,120,742,11740,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54550,120,187,11185,2013-03-17,2013-03-24,2013-03-29,5,1,5
SO54550,110,187,11185,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54555,189,7525,18523,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54573,111,1191,12189,2013-03-17,2013-03-24,2013-03-29,55,1,55
SO54597,105,3314,14312,2013-03-18,2013-03-25,2013-03-30,159,1,159
SO54639,109,9666,20664,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO65999,111,4936,15934,2013-09-08,2013-09-15,2013-09-20,55,1,55
SO66040,120,187,11185,2013-09-09,2013-09-16,2013-09-21,5,1,5
SO66040,105,187,11185,2013-09-09,2013-09-16,2013-09-21,159,1,159
SO66046,120,6890,17888,2013-09-09,2013-09-16,2013-09-21,5,1,5
SO66055,141,4954,15952,2013-09-09,2013-09-16,2013-09-21,2320,1,2320
SO51480,109,5939,16937,2013-01-16,2013-01-23,2013-01-28,35,1,35
SO51490,111,173,11171,2013-01-16,2013-01-23,2013-01-28,55,1,55
SO51501,109,15864,26862,2013-01-16,2013-01-23,2013-01-28,35,1,35
SO51505,139,55,11053,2013-01-17,2013-01-24,2013-01-29,2295,1,2295
SO51537,110,17203,28201,2013-01-19,2013-01-26,2013-01-31,35,1,35
SO51553,139,288,11286,2013-01-20,2013-01-27,2013-02-01,2295,1,2295
SO51558,105,12106,23104,2013-01-20,2013-01-27,2013-02-01,159,1,159
SO51590,141,273,11271,2013-01-22,2013-01-29,2013-02-03,2320,1,2320
SO51590,120,273,11271,2013-01-22,2013-01-29,2013-02-03,5,1,5
SO51590,115,273,11271,2013-01-22,2013-01-29,2013-02-03,35,1,35
SO51590,110,273,11271,2013-01-22,2013-01-29,2013-02-03,35,1,35
SO51594,115,106,11104,2013-01-22,2013-01-29,2013-02-03,35,1,35
SO51594,120,106,11104,2013-01-22,2013-01-29,2013-02-03,5,1,5
SO51595,141,6,11004,2013-01-22,2013-01-29,2013-02-03,2320,1,2320
SO51595,110,6,11004,2013-01-22,2013-01-29,2013-02-03,35,1,35
SO63019,112,4509,15507,2013-07-29,2013-08-05,2013-08-10,2,1,2
SO63034,116,14535,25533,2013-07-29,2013-08-05,2013-08-10,21,1,21
SO63034,112,14535,25533,2013-07-29,2013-08-05,2013-08-10,2,1,2
SO63101,164,16007,27005,2013-07-30,2013-08-06,2013-08-11,742,1,742
SO63294,113,1584,12582,2013-07-31,2013-08-07,2013-08-12,25,1,25
SO63301,107,4926,15924,2013-07-31,2013-08-07,2013-08-12,22,1,22
SO63340,112,1450,12448,2013-07-31,2013-08-07,2013-08-12,2,1,2
SO60323,138,3792,14790,2013-06-17,2013-06-24,2013-06-29,2295,1,2295
SO60323,107,3792,14790,2013-06-17,2013-06-24,2013-06-29,22,1,22
SO60327,107,11844,22842,2013-06-17,2013-06-24,2013-06-29,22,1,22
SO60362,107,3290,14288,2013-06-17,2013-06-24,2013-06-29,22,1,22
SO60385,107,6332,17330,2013-06-18,2013-06-25,2013-06-30,22,1,22
SO60396,113,15120,26118,2013-06-18,2013-06-25,2013-06-30,25,1,25
SO60396,112,15120,26118,2013-06-18,2013-06-25,2013-06-30,2,1,2
SO60398,112,11761,22759,2013-06-18,2013-06-25,2013-06-30,2,1,2
SO60402,107,9087,20085,2013-06-18,2013-06-25,2013-06-30,22,1,22
SO57474,138,899,11897,2013-05-04,2013-05-11,2013-05-16,2295,1,2295
SO57514,107,2054,13052,2013-05-05,2013-05-12,2013-05-17,22,1,22
SO57516,138,2420,13418,2013-05-05,2013-05-12,2013-05-17,2295,1,2295
SO57520,116,17309,28307,2013-05-05,2013-05-12,2013-05-17,21,1,21
SO57564,112,18398,29396,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57566,112,212,11210,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57575,152,6032,17030,2013-05-06,2013-05-13,2013-05-18,1701,1,1701
SO57582,112,2003,13001,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57588,180,14152,25150,2013-05-06,2013-05-13,2013-05-18,2384,1,2384
SO57631,175,17379,28377,2013-05-07,2013-05-14,2013-05-19,2384,1,2384
SO51472,116,15656,26654,2013-01-15,2013-01-22,2013-01-27,21,1,21
SO51472,112,15656,26654,2013-01-15,2013-01-22,2013-01-27,2,1,2
SO51488,156,9038,20036,2013-01-16,2013-01-23,2013-01-28,2443,1,2443
SO51488,112,9038,20036,2013-01-16,2013-01-23,2013-01-28,2,1,2
SO51504,152,5794,16792,2013-01-17,2013-01-24,2013-01-29,1701,1,1701
SO51536,152,7700,18698,2013-01-19,2013-01-26,2013-01-31,1701,1,1701
SO51563,113,6513,17511,2013-01-20,2013-01-27,2013-02-01,25,1,25
SO51563,112,6513,17511,2013-01-20,2013-01-27,2013-02-01,2,1,2
SO51588,157,14771,25769,2013-01-22,2013-01-29,2013-02-03,2443,1,2443
SO51620,193,10042,21040,2013-01-24,2013-01-31,2013-02-05,54,1,54
SO51629,107,446,11444,2013-01-24,2013-01-31,2013-02-05,22,1,22
SO51644,156,1133,12131,2013-01-25,2013-02-01,2013-02-06,2443,1,2443
SO54509,107,733,11731,2013-03-16,2013-03-23,2013-03-28,22,1,22
SO54519,138,99,11097,2013-03-16,2013-03-23,2013-03-28,2295,1,2295
SO54528,107,1135,12133,2013-03-17,2013-03-24,2013-03-29,22,1,22
SO54543,112,14154,25152,2013-03-17,2013-03-24,2013-03-29,2,1,2
SO54600,113,3958,14956,2013-03-18,2013-03-25,2013-03-30,25,1,25
SO54600,112,3958,14956,2013-03-18,2013-03-25,2013-03-30,2,1,2
SO54637,107,1533,12531,2013-03-18,2013-03-25,2013-03-30,22,1,22
SO54640,152,1767,12765,2013-03-18,2013-03-25,2013-03-30,1701,1,1701
SO54690,116,16843,27841,2013-03-19,2013-03-26,2013-03-31,21,1,21
SO65976,112,10491,21489,2013-09-08,2013-09-15,2013-09-20,2,1,2
SO65992,112,816,11814,2013-09-08,2013-09-15,2013-09-20,2,1,2
SO66013,164,3105,14103,2013-09-08,2013-09-15,2013-09-20,742,1,742
SO66016,187,6949,17947,2013-09-09,2013-09-16,2013-09-21,50,1,50
SO66031,156,5477,16475,2013-09-09,2013-09-16,2013-09-21,2443,1,2443
SO66054,112,4943,15941,2013-09-09,2013-09-16,2013-09-21,2,1,2
SO66064,138,3237,14235,2013-09-09,2013-09-16,2013-09-21,2295,1,2295
SO66064,107,3237,14235,2013-09-09,2013-09-16,2013-09-21,22,1,22
SO66076,181,431,11429,2013-09-09,2013-09-16,2013-09-21,2384,1,2384
SO66077,164,3324,14322,2013-09-09,2013-09-16,2013-09-21,742,1,742
SO66079,154,14739,25737,2013-09-10,2013-09-17,2013-09-22,1701,1,1701
SO66081,116,14271,25269,2013-09-10,2013-09-17,2013-09-22,21,1,21
SO66081,112,14271,25269,2013-09-10,2013-09-17,2013-09-22,2,1,2
SO66144,180,16075,27073,2013-09-10,2013-09-17,2013-09-22,2384,1,2384
SO63362,175,4694,15692,2013-07-31,2013-08-07,2013-08-12,2384,1,2384
SO63425,107,6249,17247,2013-08-02,2013-08-09,2013-08-14,22,1,22
SO63425,193,6249,17247,2013-08-02,2013-08-09,2013-08-14,54,1,54
SO63436,107,7285,18283,2013-08-02,2013-08-09,2013-08-14,22,1,22
SO57654,107,2654,13652,2013-05-08,2013-05-15,2013-05-20,22,1,22
SO57656,112,12448,23446,2013-05-08,2013-05-15,2013-05-20,2,1,2
SO57660,107,2218,13216,2013-05-08,2013-05-15,2013-05-20,22,1,22
SO57666,187,6013,17011,2013-05-08,2013-05-15,2013-05-20,50,1,50
SO57701,152,6764,17762,2013-05-09,2013-05-16,2013-05-21,1701,1,1701
SO57724,107,2188,13186,2013-05-09,2013-05-16,2013-05-21,22,1,22
SO57741,116,12114,23112,2013-05-09,2013-05-16,2013-05-21,21,1,21
SO57746,175,2254,13252,2013-05-09,2013-05-16,2013-05-21,2384,1,2384
SO57766,107,8017,19015,2013-05-10,2013-05-17,2013-05-22,22,1,22
SO57770,107,2469,13467,2013-05-10,2013-05-17,2013-05-22,22,1,22
SO57787,187,15990,26988,2013-05-10,2013-05-17,2013-05-22,50,1,50
SO57803,157,5411,16409,2013-05-11,2013-05-18,2013-05-23,2443,1,2443
SO60419,112,814,11812,2013-06-18,2013-06-25,2013-06-30,2,1,2
SO60435,113,5162,16160,2013-06-18,2013-06-25,2013-06-30,25,1,25
SO60457,112,1382,12380,2013-06-19,2013-06-26,2013-07-01,2,1,2
SO60513,187,9306,20304,2013-06-19,2013-06-26,2013-07-01,50,1,50
SO60530,132,3992,14990,2013-06-20,2013-06-27,2013-07-02,565,1,565
SO60530,107,3992,14990,2013-06-20,2013-06-27,2013-07-02,22,1,22
SO60561,175,1652,12650,2013-06-20,2013-06-27,2013-07-02,2384,1,2384
SO60601,107,831,11829,2013-06-21,2013-06-28,2013-07-03,22,1,22
SO60602,107,2354,13352,2013-06-21,2013-06-28,2013-07-03,22,1,22
SO44073,6,46,11044,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO63005,109,3856,14854,2013-07-29,2013-08-05,2013-08-10,35,1,35
SO63090,110,1750,12748,2013-07-30,2013-08-06,2013-08-11,35,1,35
SO63101,109,16007,27005,2013-07-30,2013-08-06,2013-08-11,35,1,35
SO63301,141,4926,15924,2013-07-31,2013-08-07,2013-08-12,2320,1,2320
SO43723,46,3522,14520,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43828,20,16607,27605,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43832,20,2586,13584,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43945,20,5677,16675,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43991,20,5662,16660,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO44026,20,6047,17045,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44062,20,17043,28041,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44183,20,17160,28158,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO57467,141,2422,13420,2013-05-04,2013-05-11,2013-05-16,2320,1,2320
SO57509,120,7034,18032,2013-05-05,2013-05-12,2013-05-17,5,1,5
SO57509,109,7034,18032,2013-05-05,2013-05-12,2013-05-17,35,1,35
SO57516,115,2420,13418,2013-05-05,2013-05-12,2013-05-17,35,1,35
SO57520,144,17309,28307,2013-05-05,2013-05-12,2013-05-17,540,1,540
SO57566,120,212,11210,2013-05-06,2013-05-13,2013-05-18,5,1,5
SO57566,115,212,11210,2013-05-06,2013-05-13,2013-05-18,35,1,35
SO57571,115,2705,13703,2013-05-06,2013-05-13,2013-05-18,35,1,35
SO57571,120,2705,13703,2013-05-06,2013-05-13,2013-05-18,5,1,5
SO57571,110,2705,13703,2013-05-06,2013-05-13,2013-05-18,35,1,35
SO57574,189,9674,20672,2013-05-06,2013-05-13,2013-05-18,50,1,50
SO57582,139,2003,13001,2013-05-06,2013-05-13,2013-05-18,2295,1,2295
SO57582,115,2003,13001,2013-05-06,2013-05-13,2013-05-18,35,1,35
SO54508,115,14,11012,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54508,120,14,11012,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54509,115,733,11731,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54509,120,733,11731,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54527,110,12416,23414,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54528,110,1135,12133,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54528,189,1135,12133,2013-03-17,2013-03-24,2013-03-29,50,1,50
SO54592,120,10408,21406,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54592,115,10408,21406,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54600,124,3958,14956,2013-03-18,2013-03-25,2013-03-30,540,1,540
SO54614,120,8017,19015,2013-03-18,2013-03-25,2013-03-30,5,1,5
SO54614,109,8017,19015,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54640,189,1767,12765,2013-03-18,2013-03-25,2013-03-30,50,1,50
SO65974,189,7500,18498,2013-09-08,2013-09-15,2013-09-20,50,1,50
SO65976,120,10491,21489,2013-09-08,2013-09-15,2013-09-20,5,1,5
SO65981,120,8351,19349,2013-09-08,2013-09-15,2013-09-20,5,1,5
SO65981,110,8351,19349,2013-09-08,2013-09-15,2013-09-20,35,1,35
SO65992,120,816,11814,2013-09-08,2013-09-15,2013-09-20,5,1,5
SO65992,115,816,11814,2013-09-08,2013-09-15,2013-09-20,35,1,35
SO66033,110,18332,29330,2013-09-09,2013-09-16,2013-09-21,35,1,35
SO66054,141,4943,15941,2013-09-09,2013-09-16,2013-09-21,2320,1,2320
SO66070,109,10157,21155,2013-09-09,2013-09-16,2013-09-21,35,1,35
SO66076,109,431,11429,2013-09-09,2013-09-16,2013-09-21,35,1,35
SO66080,104,214,11212,2013-09-10,2013-09-17,2013-09-22,120,1,120
SO66089,104,5630,16628,2013-09-10,2013-09-17,2013-09-22,120,1,120
SO51488,105,9038,20036,2013-01-16,2013-01-23,2013-01-28,159,1,159
SO51509,144,11395,22393,2013-01-17,2013-01-24,2013-01-29,540,1,540
SO51509,109,11395,22393,2013-01-17,2013-01-24,2013-01-29,35,1,35
SO51536,109,7700,18698,2013-01-19,2013-01-26,2013-01-31,35,1,35
SO51544,141,246,11244,2013-01-20,2013-01-27,2013-02-01,2320,1,2320
SO51544,115,246,11244,2013-01-20,2013-01-27,2013-02-01,35,1,35
SO51563,120,6513,17511,2013-01-20,2013-01-27,2013-02-01,5,1,5
SO51584,144,11276,22274,2013-01-21,2013-01-28,2013-02-02,540,1,540
SO51588,109,14771,25769,2013-01-22,2013-01-29,2013-02-03,35,1,35
SO51604,141,248,11246,2013-01-23,2013-01-30,2013-02-04,2320,1,2320
SO60293,115,2437,13435,2013-06-16,2013-06-23,2013-06-28,35,1,35
SO60293,120,2437,13435,2013-06-16,2013-06-23,2013-06-28,5,1,5
SO60293,109,2437,13435,2013-06-16,2013-06-23,2013-06-28,35,1,35
SO60321,104,3188,14186,2013-06-17,2013-06-24,2013-06-29,120,1,120
SO60327,115,11844,22842,2013-06-17,2013-06-24,2013-06-29,35,1,35
SO60327,120,11844,22842,2013-06-17,2013-06-24,2013-06-29,5,1,5
SO60328,120,6315,17313,2013-06-17,2013-06-24,2013-06-29,5,1,5
SO63018,116,16681,27679,2013-07-29,2013-08-05,2013-08-10,21,1,21
SO63018,112,16681,27679,2013-07-29,2013-08-05,2013-08-10,2,1,2
SO63038,107,805,11803,2013-07-29,2013-08-05,2013-08-10,22,1,22
SO63044,107,1437,12435,2013-07-29,2013-08-05,2013-08-10,22,1,22
SO63066,112,14818,25816,2013-07-30,2013-08-06,2013-08-11,2,1,2
SO63088,107,4247,15245,2013-07-30,2013-08-06,2013-08-11,22,1,22
SO63110,107,2618,13616,2013-07-30,2013-08-06,2013-08-11,22,1,22
SO63303,113,469,11467,2013-07-31,2013-08-07,2013-08-12,25,1,25
SO63314,112,4947,15945,2013-07-31,2013-08-07,2013-08-12,2,1,2
SO63319,107,3243,14241,2013-07-31,2013-08-07,2013-08-12,22,1,22
SO60269,113,14005,25003,2013-06-16,2013-06-23,2013-06-28,25,1,25
SO60295,157,9227,20225,2013-06-16,2013-06-23,2013-06-28,2443,1,2443
SO60298,113,1248,12246,2013-06-16,2013-06-23,2013-06-28,25,1,25
SO60298,112,1248,12246,2013-06-16,2013-06-23,2013-06-28,2,1,2
SO60302,175,13448,24446,2013-06-16,2013-06-23,2013-06-28,2384,1,2384
SO60302,193,13448,24446,2013-06-16,2013-06-23,2013-06-28,54,1,54
SO60303,181,14407,25405,2013-06-16,2013-06-23,2013-06-28,2384,1,2384
SO60307,116,11299,22297,2013-06-16,2013-06-23,2013-06-28,21,1,21
SO60340,116,15477,26475,2013-06-17,2013-06-24,2013-06-29,21,1,21
SO60366,112,8600,19598,2013-06-17,2013-06-24,2013-06-29,2,1,2
SO60382,112,6294,17292,2013-06-18,2013-06-25,2013-06-30,2,1,2
SO60401,107,14175,25173,2013-06-18,2013-06-25,2013-06-30,22,1,22
SO60408,116,16849,27847,2013-06-18,2013-06-25,2013-06-30,21,1,21
SO60408,112,16849,27847,2013-06-18,2013-06-25,2013-06-30,2,1,2
SO57462,107,2307,13305,2013-05-04,2013-05-11,2013-05-16,22,1,22
SO57464,132,8132,19130,2013-05-04,2013-05-11,2013-05-16,565,1,565
SO57468,107,3043,14041,2013-05-04,2013-05-11,2013-05-16,22,1,22
SO57473,138,2014,13012,2013-05-04,2013-05-11,2013-05-16,2295,1,2295
SO57476,181,14107,25105,2013-05-04,2013-05-11,2013-05-16,2384,1,2384
SO57522,156,8623,19621,2013-05-05,2013-05-12,2013-05-17,2443,1,2443
SO57531,116,11308,22306,2013-05-05,2013-05-12,2013-05-17,21,1,21
SO57536,113,76,11074,2013-05-06,2013-05-13,2013-05-18,25,1,25
SO57536,112,76,11074,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57551,112,13414,24412,2013-05-06,2013-05-13,2013-05-18,2,1,2
SO57577,107,5022,16020,2013-05-06,2013-05-13,2013-05-18,22,1,22
SO57635,113,2005,13003,2013-05-08,2013-05-15,2013-05-20,25,1,25
